created_at,screen_name,id,text,contributors,is quote,in reply to,in reply to id,favorited,favorite count,retweet count
2017-09-02T22:01:18,JBuggarauf,904101955189915648,"RT @GScottTaylor: @MichaelSkolnik And you found people polite, friendly and tolerant of your right to express.your views.  Try a Trump shir…",,False,,,False,0,407
2017-09-02T22:05:03,JBuggarauf,904102899306790916,@ThisGroovyMama @GScottTaylor @MichaelSkolnik Right - My neighbor has his back window bashed in and his MAGA hat on… https://t.co/aemUNYtd84,,False,ThisGroovyMama,823320945913802753,False,3,0
2017-09-03T05:59:40,JBuggarauf,904222339641991168,@DestructiveChem @undertoad80 @wcrego @billhrsn @KurtSchlichter @JayCaruso Nobody is trying to change your mind - t… https://t.co/P6GqQernTk,,False,DestructiveChem,4161633555,False,0,0
2017-09-03T06:04:33,JBuggarauf,904223571525779456,"@seymourbutz12 Enjoy both, before they figure out Arlington was Gen Lee's home, and several Marines in the Iwo Jima… https://t.co/Q7VBDIIZQT",,False,seymourbutz12,4735176079,False,1,0
2017-09-03T06:14:11,JBuggarauf,904225994910736386,@johncardillo The gang population in California just quadrupled over night..,,False,johncardillo,27995424,False,0,0
2017-09-03T15:45:05,GiftofSage,904369666721767424,The Left #MSM has been calling anything they can terrorism and finally got to call a white supremacist a terrorist without thinking. #AMJoy,,False,,,False,0,0
2017-09-03T15:45:59,GiftofSage,904369894082437121,"It like now that the president really sympathizes with terrorism, even the Left has gone soft. But it's because they think he can't win.",,False,,,False,0,0
2017-09-03T15:47:13,GiftofSage,904370202275717123,"The Left loses when they think their opponent can't win. #AMJoy 
I think he can win b/c people don't see he blamed the population for terror",,False,,,False,0,0
2017-09-03T15:49:07,GiftofSage,904370682221518848,He blamed everyone for terror b/c terror is really about everyone. The WS wanted #blameonbothsides to their strategy of taking to mainstream,,False,,,False,0,0
2017-09-03T16:01:43,GiftofSage,904373850523262977,@FilmFatale_NYC Fallacy,,False,FilmFatale_NYC,37340424,False,0,0
2017-09-03T16:28:28,JBuggarauf,904380586181005312,"On just the Q's and As in that video, Comey should have been fired, if not prosecuted. W/earlier draft of exonerati… https://t.co/geY7BkG66C",,True,,,False,0,0
2017-09-03T16:35:32,JBuggarauf,904382364142288897,You think I'm pulling that cat into *my* rescue boat? Not on your life or its.. https://t.co/plqHAMW5OY,,True,,,False,0,0
2017-09-03T16:41:15,GiftofSage,904383801098469377,@HallieJackson @POTUS He's waiting for them to hit land. He knows they're bluffing. They're blu,,False,HallieJackson,37590426,False,0,0
2017-09-03T16:44:32,JBuggarauf,904384628030447616,"@DineshDSouza @IngrahamAngle @nytimes @DouthatNYT Wow, @DouthatNYT's  nose up someones ass while sucking away too i… https://t.co/91iUFcEHF4",,False,DineshDSouza,91882544,False,0,0
2017-09-03T16:45:16,GiftofSage,904384812038983680,@vicenews They can't label Antifa a gang. It's a non organization with decades of history and no individual joined… https://t.co/HbU6N8vEAw,,False,vicenews,1630896181,False,0,0
2017-09-03T16:45:55,GiftofSage,904384976493346816,"@vicenews It's not classified a ""group"" legally. There's nothing tying them together. They have no rules about behavior or intimidation.",,False,vicenews,1630896181,False,0,0
2017-09-03T16:46:40,GiftofSage,904385163550969856,"@vicenews For them to be a gang, there has to be protocol among group members, but Antifa are really just an open b… https://t.co/hOd1Y8bha0",,False,vicenews,1630896181,False,0,0
